
6,06,24,11,25,16,02,00,22
11,06,24,11,25,16,02,22,-10
4,21,24,11,25,02,22,-10,-10
2,11,24,11,25,22,-10,-10,-10
4,16,03,36,04,01,35,55,06
1,02,03,36,04,35,55,06,-10
12,10,36,04,35,55,06,-10,-10
9,04,36,04,35,55,-10,-10,-10
9,03,02,03,24,35,05,00,-10
12,60,02,24,35,05,00,-10,-10
1,20,02,24,35,05,-10,-10,-10
10,60,24,35,05,-10,-10,-10,-10
2,51,24,35,-10,-10,-10,-10,-10
1,25,24,-10,-10,-10,-10,-10,-10
8,20,00,14,15,45,26,22,-10
5,20,14,15,45,26,22,-10,-10
1,11,14,15,45,26,-10,-10,-10
8,41,15,45,26,-10,-10,-10,-10
1,52,45,26,-10,-10,-10,-10,-10
1,62,26,-10,-10,-10,-10,-10,-10
0,00,16,13,34,24,23,25,-10
4,42,16,13,34,24,23,25,-10
4,22,16,13,34,23,25,-10,-10
1,62,16,13,34,25,-10,-10,-10
3,52,13,34,25,-10,-10,-10,-10
3,06,04,45,02,14,15,13,24
8,34,04,45,14,15,13,24,-10
4,31,45,14,15,13,24,-10,-10
9,21,45,14,15,24,-10,-10,-10
0,63,45,15,24,-10,-10,-10,-10
2,53,45,15,24,-10,-10,-10,-10
8,65,45,24,-10,-10,-10,-10,-10
8,04,24,-10,-10,-10,-10,-10,-10
13,36,35,05,23,11,02,06,45
5,00,35,05,23,11,02,45,-10
3,30,35,05,23,11,45,-10,-10
8,63,35,05,11,45,-10,-10,-10
9,21,05,11,45,-10,-10,-10,-10
1,56,05,45,-10,-10,-10,-10,-10
8,05,45,-10,-10,-10,-10,-10,-10
8,53,03,26,06,04,12,01,16
5,00,26,06,04,12,01,16,-10
11,32,26,06,04,12,16,-10,-10
4,11,26,06,04,16,-10,-10,-10
3,42,26,06,04,-10,-10,-10,-10
2,04,26,06,-10,-10,-10,-10,-10
1,64,26,-10,-10,-10,-10,-10,-10
6,21,05,25,13,06,23,02,-10
12,02,05,25,13,06,23,-10,-10
3,10,05,25,13,06,-10,-10,-10
0,14,05,25,06,-10,-10,-10,-10
1,52,05,25,06,-10,-10,-10,-10
2,02,25,06,-10,-10,-10,-10,-10
1,52,25,-10,-10,-10,-10,-10,-10
3,12,03,23,11,15,36,34,-10
9,42,03,23,15,36,34,-10,-10
2,11,03,15,36,34,-10,-10,-10
10,24,03,36,34,-10,-10,-10,-10
8,23,03,36,-10,-10,-10,-10,-10
8,23,36,-10,-10,-10,-10,-10,-10
12,06,12,01,04,25,26,13,22
9,30,12,01,04,25,13,22,-10
8,21,12,04,25,13,22,-10,-10
2,52,04,25,13,22,-10,-10,-10
12,06,12,01,04,25,26,13,22
9,30,12,01,04,25,13,22,-10
8,21,12,04,25,13,22,-10,-10
2,52,04,25,13,22,-10,-10,-10
4,20,34,44,11,24,45,36,13
0,02,34,44,11,45,36,13,-10
2,42,34,44,11,45,36,13,-10
9,61,34,11,45,36,13,-10,-10
4,31,34,45,36,13,-10,-10,-10
11,42,34,11,14,02,56,22,13
6,30,34,11,14,56,22,13,-10
5,20,34,11,14,56,22,-10,-10
4,56,34,11,14,56,-10,-10,-10
2,13,34,11,14,-10,-10,-10,-10
9,14,34,14,-10,-10,-10,-10,-10
4,00,15,14,04,02,05,26,-10
3,00,15,14,04,05,26,-10,-10
4,60,15,14,05,26,-10,-10,-10
3,50,15,14,05,-10,-10,-10,-10
3,66,03,15,36,45,02,24,25
11,50,03,15,45,02,24,25,-10
1,01,03,15,45,24,25,-10,-10
3,20,15,45,24,25,-10,-10,-10
9,34,15,45,25,-10,-10,-10,-10
1,16,15,25,-10,-10,-10,-10,-10
1,51,25,-10,-10,-10,-10,-10,-10
6,06,36,22,04,01,11,00,34
11,30,36,22,04,01,11,34,-10
2,26,36,22,04,11,34,-10,-10
1,66,36,04,11,34,-10,-10,-10
0,25,04,11,34,-10,-10,-10,-10
1,40,04,11,34,-10,-10,-10,-10
13,20,05,22,34,24,36,00,25
9,02,05,22,34,24,36,25,-10
3,43,05,34,24,36,25,-10,-10
10,26,05,34,36,25,-10,-10,-10
8,20,05,34,25,-10,-10,-10,-10
8,24,34,25,-10,-10,-10,-10,-10
1,21,25,-10,-10,-10,-10,-10,-10
9,02,34,02,15,56,01,05,-10
8,34,34,15,56,01,05,-10,-10
0,23,15,56,01,05,-10,-10,-10
3,13,15,56,01,05,-10,-10,-10
9,06,15,56,05,-10,-10,-10,-10
8,01,15,05,-10,-10,-10,-10,-10
1,06,05,-10,-10,-10,-10,-10,-10
13,46,03,02,35,00,15,16,24
4,00,03,02,35,00,15,24,-10
1,35,03,02,35,15,24,-10,-10
1,03,02,35,15,24,-10,-10,-10
10,32,35,15,24,-10,-10,-10,-10
1,31,35,15,-10,-10,-10,-10,-10
8,21,15,-10,-10,-10,-10,-10,-10
8,06,06,36,14,33,24,01,34
3,30,36,14,33,24,01,34,-10
4,15,36,14,24,01,34,-10,-10
9,01,36,14,24,34,-10,-10,-10
8,46,36,24,34,-10,-10,-10,-10
8,52,24,34,-10,-10,-10,-10,-10
8,24,34,-10,-10,-10,-10,-10,-10
4,16,05,14,03,01,26,33,06
10,23,05,14,03,26,33,06,-10
4,30,05,14,26,33,06,-10,-10
4,64,05,14,26,06,-10,-10,-10
1,03,05,14,26,-10,-10,-10,-10
1,42,14,26,-10,-10,-10,-10,-10
8,12,26,-10,-10,-10,-10,-10,-10
7,66,35,13,12,33,03,05,16
5,00,35,13,12,33,03,05,-10
2,32,35,13,12,33,05,-10,-10
11,05,35,12,33,05,-10,-10,-10
13,06,13,04,02,34,11,06,15
1,30,13,04,02,34,11,15,-10
1,45,04,02,34,11,15,-10,-10
10,01,02,34,11,15,-10,-10,-10
5,66,13,16,05,36,06,14,01
13,01,13,16,05,36,14,01,-10
1,32,13,16,05,36,14,-10,-10
2,52,16,05,36,14,-10,-10,-10
3,43,16,36,14,-10,-10,-10,-10
1,12,16,36,-10,-10,-10,-10,-10
1,32,36,-10,-10,-10,-10,-10,-10
0,66,44,13,25,05,04,12,22
6,12,44,13,25,05,04,12,22
9,03,44,13,25,05,04,22,-10
4,01,44,25,05,04,22,-10,-10
3,51,44,25,05,22,-10,-10,-10
1,41,44,25,22,-10,-10,-10,-10
2,23,25,22,-10,-10,-10,-10,-10
1,26,25,-10,-10,-10,-10,-10,-10
10,30,16,15,02,56,26,14,-10
0,03,16,15,56,26,14,-10,-10
0,00,16,15,56,26,14,-10,-10
